,community,FELONY,MISDEMEANOR,VIOLATION,labels
0,301,0.017600319,0.035287954,0.008725318,0
1,302,0.025766,0.056388,0.013121,2
2,303,0.02512,0.044715,0.012859,2
3,304,0.019078557,0.034793691,0.008767895,0
4,305,0.024862,0.045768,0.012252,2
5,306,0.014079228,0.028129625,0.005727795,0
6,307,0.01170219,0.025419988,0.005180614,1
7,308,0.016778384,0.035440693,0.00893043,0
8,309,0.016161286,0.031880324,0.008854577,0
9,310,0.00976808,0.024179465,0.005092132,1
10,311,0.008418105,0.017527552,0.00402605,1
11,312,0.0055878,0.011986209,0.002945214,1
12,313,0.011939314,0.033207689,0.007171127,0
13,314,0.011409547,0.024270464,0.005515207,1
14,315,0.009599611,0.01974189,0.003898477,1
15,316,0.028801,0.055517,0.01576,2
16,317,0.016874506,0.027691806,0.009526223,0
17,318,0.01359342,0.023821878,0.00730017,1
