,community,FELONY,MISDEMEANOR,VIOLATION,labels
0,101,0.042475305,0.091661825,0.019668797,0
1,102,0.02844747,0.054586067,0.007012532,0
2,103,0.017292451,0.037133455,0.007219887,1
3,104,0.032842168,0.060185873,0.012140056,0
4,105,0.116108,0.211683,0.029322,2
5,106,0.014101886,0.023701451,0.005626065,1
6,107,0.011290377,0.024386251,0.005618708,1
7,108,0.010149127,0.014788333,0.003026771,1
8,109,0.014222548,0.032347571,0.008207726,1
9,110,0.02567478,0.066380976,0.015171461,0
10,111,0.024655394,0.065345711,0.013147278,0
11,112,0.012993369,0.02714309,0.005359525,1
